,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/10/09 00:30:49,73.17,232.09,105.61,2.17,337.7,2.1815,1.0,37.08,食事後,最適,リラックス,睡眠前,,,,
2016/10/09 00:34:47,75.27,293.78,95.66,3.03,389.43,2.3883,1.0,37.08,食事後,最適,リラックス,普通,睡眠前,,,
2016/10/09 10:39:14,71.2,685.48,186.72,4.52,872.2,3.2761,1.0,36.26,食事前,最適,リラックス,睡眠後,,,,
2016/10/09 10:42:15,68.68,324.13,55.98,5.28,380.12,2.0715,2.0,36.26,食事前,最適,リラックス,睡眠後,,,,
2016/10/09 10:44:52,68.35,247.84,110.79,2.72,358.63,2.0993,1.0,36.26,食事前,最適,リラックス,睡眠後,,,,
2016/10/09 13:49:06,83.79,26.99,102.68,0.26,129.66,1.5908,1.0,37.05,食事後,最適,普通,普通,,,,
2016/10/09 13:53:13,80.51,129.61,92.8,1.56,222.41,1.9824,1.0,37.05,食事後,最適,普通,普通,,,,
2016/10/09 18:16:31,71.33,620.85,305.28,2.45,926.13,3.5656,1.0,36.59,食事前,入浴前,寒っ！,歩行後,疲れたぁ,普通,,
2016/10/09 18:20:59,69.46,499.7,188.23,2.86,687.94,3.0011,1.0,36.59,食事前,入浴前,最適,疲れたぁ,普通,,,
2016/10/09 22:09:50,79.75,191.18,166.37,1.01,357.54,2.3896,1.0,37.14,食事後,入浴後,最適,リラックス,普通,,,
2016/10/09 22:16:14,73.78,330.43,185.8,1.75,516.23,2.7465,1.0,37.14,食事後,入浴後,最適,リラックス,普通,,,
2016/10/10 00:13:31,69.34,319.22,198.21,1.78,517.43,2.3987,1.0,36.89,最適,リラックス,睡眠前,,,,,
2016/10/10 00:16:12,67.35,196.8,180.51,1.37,377.31,2.1477,1.0,36.89,最適,リラックス,睡眠前,,,,,
2016/10/10 08:55:13,61.85,307.16,182.38,1.85,489.53,2.2225,1.0,36.79,36.79,最適,リラックス,眠い…,,,,
2016/10/10 08:58:00,60.31,309.46,190.24,1.81,499.7,2.1821,1.0,36.79,最適,リラックス,眠い…,,,,,
2016/10/10 11:14:02,88.8,62.01,66.18,0.94,128.18,1.6473,1.0,36.90,食事前,最適,リラックス,普通,,,,
2016/10/10 11:19:59,86.09,355.23,162.62,1.9,517.85,3.0484,0.0,36.90,食事前,最適,リラックス,普通,,,,
