,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/09/28 08:59:35,76.43,205.43,125.76,1.65,331.19,2.2695,1.0,36.81,食事後,歩行後,不安…,普通,,,,
2016/09/28 09:05:22,76.3,227.98,110.59,2.11,338.57,2.2945,1.0,36.81,食事後,歩行後,不安…,普通,,,,
2016/09/28 12:00:07,72.42,295.2,73.26,4.13,368.46,2.2848,1.0,36.72,食事前,最適,不安…,普通,,,,
2016/09/28 12:04:11,69.72,539.96,71.12,8.07,611.08,2.667,2.0,36.72,食事前,最適,不安…,普通,,,,
2016/09/28 12:06:48,68.72,849.24,150.89,5.92,1000.13,3.4360000000000004,2.0,36.72,食事前,最適,不安…,普通,,,,
2016/09/28 15:50:12,73.91,180.47,100.78,2.0,281.24,2.0313,1.0,36.75,食事後,暑い…,疲れたぁ,普通,,,,
2016/09/28 15:54:17,72.67,752.59,79.05,10.38,831.65,3.4477,2.0,36.75,食事後,暑い…,普通,疲れたぁ,普通,,,
2016/09/28 15:56:59,72.89,789.79,103.44,7.98,893.23,3.5848,2.0,36.75,入浴前,食事後,暑い…,疲れたぁ,普通,,,
2016/09/28 19:27:19,97.74,75.23,21.46,3.77,96.69,1.5664,1.0,36.64,食事前,入浴前,食事後,最適,疲れたぁ,眠い…,,
2016/09/28 19:39:36,89.33,128.6,26.49,4.19,155.09,1.7124,1.0,36.64,食事後,入浴前,最適,疲れたぁ,眠い…,,,
2016/09/28 22:45:28,80.58,426.86,268.76,2.67,695.62,3.3801,1.0,36.95,食事後,入浴後,暑い…,リラックス,睡眠前,,,
2016/09/28 22:48:21,80.47,642.87,468.8,1.19,1111.67,4.275,0.0,36.95,入浴後,暑い…,リラックス,睡眠前,,,,
2016/09/28 22:51:04,81.79,106.88,53.98,2.43,160.86,1.6916,1.0,36.95,入浴後,暑い…,リラックス,睡眠前,,,,
2016/09/29 06:18:11,65.28,277.47,95.88,3.26,373.35,2.031,1.0,36.34,食事前,最適,疲れたぁ,眠い…,睡眠後,,,
2016/09/29 06:21:09,66.24,538.31,133.0,4.82,671.31,2.761,1.0,食事前,36.34,食事後,食事前,最適,リラックス,疲れたぁ,眠い…,睡眠後
2016/09/29 08:57:19,85.14,214.97,255.24,0.84,470.22,3.0586,0.0,36.74,食事後,暑い…,不安…,普通,,,,
2016/09/29 09:01:27,87.95,130.32,68.33,2.12,198.65,2.0061,1.0,36.74,食事後,暑い…,不安…,普通,,,,
2016/09/29 09:04:09,86.0,194.08,105.32,2.4,299.4,2.4376,1.0,36.74,食事後,暑い…,不安…,普通,,,,
2016/09/29 12:40:42,71.42,459.97,189.73,2.54,649.71,3.0136,1.0,36.81,暑い…,不安…,眠い…,,,,,
2016/09/29 12:43:41,70.87,195.69,170.83,1.19,366.52,2.2581,1.0,36.81,最適,暑い…,不安…,眠い…,,,,
2016/09/29 15:23:19,66.63,467.23,1125.4,0.7,1592.63,3.6277,0.0,食事前,寒っ！,疲れたぁ,眠い…,,,,,
2016/09/29 15:26:03,69.17,378.76,217.46,2.03,596.22,2.7643,1.0,36.21,食事前,寒っ！,疲れたぁ,眠い…,,,,
2016/09/29 16:10:01,67.34,327.79,212.56,1.43,540.35,2.5103,1.0,36.18,寒っ！,疲れたぁ,眠い…,,,,,
2016/09/29 16:12:43,68.72,365.19,257.43,1.51,622.62,2.84,1.0,36.18,寒っ！,疲れたぁ,眠い…,,,,,
2016/09/29 18:50:18,92.47,141.98,17.45,10.05,159.42,1.9314,2.0,36.78,食事前,暑い…,疲れたぁ,普通,,,,
2016/09/29 18:53:26,97.49,229.8,12.29,21.59,242.09,2.4696,2.0,,,,,,,,,
2016/09/30 07:23:03,93.32,425.0,226.91,3.42,651.91,3.9065,1.0,36.60,食事後,最適,体調悪い…,普通,,,,
2016/09/30 07:26:14,92.36,827.4,127.39,11.67,954.8,4.7455,2.0,36.60,食事後,最適,体調悪い…,普通,,,,
2016/09/30 07:28:53,93.08,1479.44,75.84,20.18,1555.28,6.0566,2.0,36.60,食事後,最適,体調悪い…,普通,,,,
2016/09/30 09:57:44,78.87,474.85,95.6,6.68,570.45,3.1289,2.0,36.52,食事後,最適,疲れたぁ,普通,,,,
2016/09/30 10:03:45,77.76,403.65,129.43,3.38,533.08,2.9533,1.0,36.52,食事後,最適,疲れたぁ,普通,,,,
2016/09/30 10:06:20,76.58,494.94,116.73,5.11,611.67,2.9960000000000004,2.0,36.52,食事後,最適,疲れたぁ,普通,,,,
2016/09/30 13:28:31,87.04,185.36,25.03,7.65,210.39,2.0015,2.0,36.77,食事後,最適,体調悪い…,眠い…,,,,
2016/09/30 13:34:53,85.29,161.77,25.49,6.82,187.25,1.9147,2.0,食事前,36.77,食事後,最適,疲れたぁ,体調悪い…,眠い…,,
2016/09/30 22:27:32,77.0,210.0,145.54,2.12,355.55,2.2098,1.0,食事後,入浴前,最適,疲れたぁ,不安…,普通,,,
2016/09/30 22:30:39,76.12,353.99,141.45,2.7,495.44,2.7518,1.0,36.93,食事後,入浴前,最適,疲れたぁ,不安…,普通,,
